destination_code,destination_sub_district,destination_district,origin_district,species_type,number,weekly_volume
M-JKB-054,TAMBORA,JAKARTA BARAT,TASIKMALAYA,BR,50,350
M-JKB-054,TAMBORA,JAKARTA BARAT,SUKABUMI,BR,50,350
M-JKB-054,TAMBORA,JAKARTA BARAT,TASIKMALAYA,BR,150,1050
M-JKB-046,KEBON JERUK,JAKARTA BARAT,SERANG,BR,350,175
M-JKB-046,KEBON JERUK,JAKARTA BARAT,TANGERANG,BR,350,175
M-JKB-047,KEBON JERUK,JAKARTA BARAT,TANGERANG,BR,4000,12000
M-JKB-047,KEBON JERUK,JAKARTA BARAT,SUKABUMI,BR,4000,12000
M-JKB-061,KEMBANGAN,JAKARTA BARAT,SUKABUMI,BR,10000,10000
M-JKB-061,KEMBANGAN,JAKARTA BARAT,SERANG,BR,3000,3000
M-JKB-061,KEMBANGAN,JAKARTA BARAT,PANDEGLANG,BR,3000,3000
M-JKB-061,KEMBANGAN,JAKARTA BARAT,CIANJUR,BR,3000,3000
M-JKB-061,KEMBANGAN,JAKARTA BARAT,BOGOR,BR,3000,3000
M-JKB-061,KEMBANGAN,JAKARTA BARAT,TANGERANG,BR,3000,3000
M-JKB-061,KEMBANGAN,JAKARTA BARAT,TASIKMALAYA,BR,2500,2500
M-JKB-061,KEMBANGAN,JAKARTA BARAT,BANYUMAS,BR,2500,2500
M-JKB-027,KEBON JERUK,JAKARTA BARAT,BANYUMAS,AK,300,300
M-JKB-026,KEBON JERUK,JAKARTA BARAT,BANDUNG,BR,300,150
M-JKB-026,KEBON JERUK,JAKARTA BARAT,SERANG,BR,300,150
M-JKB-026,KEBON JERUK,JAKARTA BARAT,TANGERANG,BR,150,150
M-JKB-045,KEBON JERUK,JAKARTA BARAT,BANDUNG,BR,250,125
M-JKB-045,KEBON JERUK,JAKARTA BARAT,SERANG,BR,250,125
M-BKS-064,BEKASI TIMUR,KOTA BEKASI,BEKASI,BR,500,3500
M-BKS-090,RAWALUMBU,KOTA BEKASI,KARAWANG,BR,1000,7000
M-BKS-091,BEKASI TIMUR,KOTA BEKASI,CIREBON,BR,1500,10500
M-BKS-091,BEKASI TIMUR,KOTA BEKASI,BANDUNG,BR,2000,14000
M-BGR-008,KOTA BOGOR SELATAN,KOTA BOGOR,BOGOR,BR,10800,75600
M-BGR-008,KOTA BOGOR SELATAN,KOTA BOGOR,TASIKMALAYA,BR,7200,50400
D-BGR-106,BOJONG GEDE,BOGOR,CIANJUR,BR,500,1500
D-BGR-106,BOJONG GEDE,BOGOR,SUKABUMI,BR,500,2000
D-BGR-110,BOJONG GEDE,BOGOR,BOGOR,BR,150,1050
D-BGR-117,BOJONG GEDE,BOGOR,BOGOR,BR,150,900
D-BGR-117,BOJONG GEDE,BOGOR,KOTA DEPOK,BR,150,150
M-JKB-008,CENGKARENG,JAKARTA BARAT,TANGERANG,BR,600,4200
M-JKB-008,CENGKARENG,JAKARTA BARAT,TANGERANG,BR,800,5600
M-JKB-008,CENGKARENG,JAKARTA BARAT,BOGOR,BR,300,2100
M-JKB-007,CENGKARENG,JAKARTA BARAT,SERANG,BR,4000,28000
M-JKB-038,CENGKARENG,JAKARTA BARAT,BANDUNG,BR,3000,21000
M-JKB-006,CENGKARENG,JAKARTA BARAT,BOGOR,BR,1200,2400
M-JKB-006,CENGKARENG,JAKARTA BARAT,TANGERANG,BR,1200,6000
M-JKB-013,TAMBORA,JAKARTA BARAT,TASIKMALAYA,BR,50,350
M-JKU-069,PENJARINGAN,JAKARTA UTARA,CIAMIS,BR,1000,7000
D-BGR-126,BOJONG GEDE,BOGOR,BOGOR,BR,120,279,99996
D-BGR-126,BOJONG GEDE,BOGOR,SUKABUMI,BR,120,279,99996
D-BGR-126,BOJONG GEDE,BOGOR,TANGERANG,BR,120,279,99996
D-BGR-126,BOJONG GEDE,BOGOR,BOGOR,BR,20,140
D-BGR-117,BOJONG GEDE,BOGOR,BOGOR,BR,160,480
D-BGR-109,BOJONG GEDE,BOGOR,BOGOR,BR,600,4200
M-BGR-014,KOTA BOGOR TENGAH,KOTA BOGOR,BOGOR,AK,20,60
M-BGR-014,KOTA BOGOR TENGAH,KOTA BOGOR,BOGOR,AK,20,140
M-BGR-014,KOTA BOGOR TENGAH,KOTA BOGOR,BOGOR,AK,5,35
D-BGR-125,BOJONG GEDE,BOGOR,BOGOR,BR,300,900
D-BGR-125,BOJONG GEDE,BOGOR,BOGOR,BR,300,900
M-JKB-050,GROGOL PETAMBURAN,JAKARTA BARAT,BOGOR,BR,500,500
M-JKB-060,TAMAN SARI,JAKARTA BARAT,BANYUMAS,AK,150,0
D-BGR-117,BOJONG GEDE,BOGOR,JAKARTA PUSAT,BR,100,700
D-BGR-105,BOJONG GEDE,BOGOR,LAMPUNG SELATAN,BR,1700,5100
D-BGR-105,BOJONG GEDE,BOGOR,CIANJUR,BR,1700,2266,6661
D-BGR-105,BOJONG GEDE,BOGOR,BANDUNG,BR,1700,2266,6661
D-BGR-105,BOJONG GEDE,BOGOR,SUKABUMI,BR,1700,2266,6661
D-BGR-114,BOJONG GEDE,BOGOR,KOTA DEPOK,BR,60,420
M-JKP-047,CEMPAKA PUTIH,JAKARTA PUSAT,SUKABUMI,BR,1000,7000
